Customer_Name,CustID,Revenue,% Total,Profit
ALICIA ANAND,29113,2453.04,0.01%,945.3
HEATHER SUN,28729,2452.04,0.01%,923.3
JERMAINE SUBRAM,28731,2452.04,0.01%,923.3
CANDICE SHE,29178,2452.04,0.01%,923.3
RAQUEL GUTIERREZ,28697,2452.04,0.01%,923.3
GARY ALVAREZ,24700,2452.04,0.01%,923.3
BYRON SANZ,24799,2452.04,0.01%,923.3
ERIK GOMEZ,29180,2452.04,0.01%,923.3
JADE REED,25185,2451.69,0.01%,945.02
BAILEY HILL,25767,2451.69,0.01%,945.02
DALTON SANDERS,24739,2451.69,0.01%,945.02
OLIVIA ANDERSON,23666,2451.69,0.01%,945.02
JOSE WILSON,25464,2451.69,0.01%,945.02
CHARLES BAKER,19313,2448.63,0.01%,933.9
TRINITY COOK,14732,2448.16,0.01%,920.77
LOGAN CLARK,18039,2448.16,0.01%,920.77
KELVIN TANG,20832,2448.16,0.01%,920.77
CHLOE WATSON,19293,2448.16,0.01%,920.77
BRUCE RAMAN,20886,2448.16,0.01%,920.77
JACQUELINE KELLY,21034,2448.16,0.01%,920.77
LINDSEY PAL,21071,2448.16,0.01%,920.77
FRANKLIN ZHENG,21044,2448.16,0.01%,920.77
CORY SARA,21105,2448.16,0.01%,920.77
IAN RIVERA,28152,2446.7,0.01%,917.49
ALVIN PAL,29319,2446.7,0.01%,917.49
JAMES HARRIS,25064,2446.7,0.01%,917.49
ANA SIMMONS,25180,2446.7,0.01%,917.49
SHAUN LUO,27864,2446.7,0.01%,917.49
XAVIER COOK,24633,2446.7,0.01%,917.49
BRIANNA ROBINSON,24446,2446.7,0.01%,917.49
LUKE ALEXANDER,29043,2446.7,0.01%,917.49
SETH KELLY,24421,2446.7,0.01%,917.49
SARA GRAY,29247,2446.7,0.01%,917.49
KAITLIN SURI,29190,2446.7,0.01%,917.49
TREVOR LONG,25047,2446.12,0.01%,927.22
SAMANTHA DAVIS,28244,2446.12,0.01%,927.22
CODY SANCHEZ,24794,2446.12,0.01%,927.22
GABRIELLE TURNER,28063,2446.12,0.01%,927.22
JOE ALONSO,28766,2443.35,0.01%,924.56
CHARLES THOMAS,25094,2443.35,0.01%,924.56
HALEY ADAMS,24786,2443.35,0.01%,924.56
JULIA HUGHES,25061,2443.35,0.01%,924.56
VANESSA SIMMONS,28659,2443.35,0.01%,924.56
ADAM JAI,25095,2443.35,0.01%,924.56
ALLISON NELSON,28802,2443.35,0.01%,924.56
HALEY ROSS,25361,2443.35,0.01%,924.56
KRISTEN HUANG,25100,2443.35,0.01%,924.56
NELSON HERNANDEZ,28850,2443.35,0.01%,924.56
ALEXANDRIA GRAY,25363,2443.35,0.01%,924.56
PETR LAZECKY,25864,2443.35,0.01%,924.56
STEPHANIE PRICE,25892,2443.35,0.01%,924.56
LUIS CARTER,25883,2443.35,0.01%,924.56
LAUREN COOK,28836,2443.35,0.01%,924.56
JOCELYN PRICE,25875,2443.35,0.01%,924.56
NATALIE HILL,28834,2443.35,0.01%,924.56
LUCAS COX,25393,2443.35,0.01%,924.56
TIMOTHY PHILLIPS,28798,2443.35,0.01%,924.56
ARIANA BELL,29149,2443.35,0.01%,924.56
EMMA MORGAN,29159,2443.35,0.01%,924.56
CHARLES ANDERSON,29281,2443.35,0.01%,924.56
JACK PHILLIPS,25995,2443.35,0.01%,924.56
VICTORIA TAYLOR,26013,2443.35,0.01%,924.56
ANDREW JOHNSON,26294,2443.35,0.01%,924.56
JEREMY MURPHY,27651,2442.61,0.01%,937.86
TYLER HARRIS,24343,2442.61,0.01%,937.86
RUBEN GOMEZ,24348,2442.61,0.01%,937.86
ELIJAH GRIFFIN,24444,2442.61,0.01%,937.86
JESSE TURNER,28099,2442.61,0.01%,937.86
CLAYTON ANAND,20890,2442.37,0.01%,928.99
AIMEE WANG,21011,2442.37,0.01%,928.99
CINDY GONZALEZ,26822,2441.68,0.01%,935.72
JULIAN BUTLER,23328,2441.6,0.01%,937.23
LUIS SIMMONS,24433,2441.6,0.01%,937.23
CARLA LOPEZ,28326,2441.6,0.01%,937.23
AMANDA WOOD,28068,2441.26,0.01%,937.58
ERIC BAKER,24357,2441.26,0.01%,937.58
ALBERTO BLANCO,27867,2441.26,0.01%,937.58
ROGER BLACK,28416,2440.33,0.01%,935.44
NINA RAJI,29480,2440.33,0.01%,935.44
TABITHA FERNANDEZ,25724,2440.33,0.01%,935.44
HALEY RIVERA,24754,2439.98,0.01%,937.13
DIANE RUBIO,24818,2438.06,0.01%,914.55
PHILLIP VANCE,29308,2438.06,0.01%,914.55
DALTON REED,24432,2438.06,0.01%,914.55
PETER TANG,25184,2438.06,0.01%,914.55
ISABELLA FLORES,25161,2438.06,0.01%,914.55
JAMES HILL,29317,2438.06,0.01%,914.55
NATALIE WATSON,25765,2438.06,0.01%,914.55
ZACHARY DIAZ,25425,2438.06,0.01%,914.55
NOAH WILLIAMS,25285,2438.06,0.01%,914.55
BRYCE MURPHY,24645,2438.06,0.01%,914.55
JENNIFER HERNANDEZ,24436,2438.06,0.01%,914.55
OLIVIA MARTINEZ,24998,2438.06,0.01%,914.55
DARREN SERRANO,29196,2438.06,0.01%,914.55
VICTORIA CLARK,24815,2438.06,0.01%,914.55
TRINITY RAMIREZ,24811,2438.06,0.01%,914.55
RYAN LAL,27919,2438.06,0.01%,914.55
TYRONE DOMINGUEZ,28250,2438.06,0.01%,914.55
SPENCER HENDERSON,28224,2438.06,0.01%,914.55
HALEY PERRY,25008,2438.06,0.01%,914.55
MELVIN KUMAR,24997,2438.06,0.01%,914.55
TAYLOR DAVIS,28193,2438.06,0.01%,914.55
ISABELLA HALL,25038,2438.06,0.01%,914.55
HAILEY WOOD,19282,2437.02,0.01%,927.55
DEANNA PRASAD,18009,2435.08,0.01%,926.33
KELLI KUMAR,18038,2435.08,0.01%,926.33
SETH BROWN,14731,2435.08,0.01%,926.33
CHAD PAL,19181,2435.08,0.01%,926.33
ABIGAIL GRIFFIN,19256,2435.08,0.01%,926.33
FRANK SUAREZ,19309,2435.08,0.01%,926.33
JULIA WASHINGTON,20875,2435.08,0.01%,926.33
LAURA LI,20933,2435.08,0.01%,926.33
TERRY JAI,18046,2433.73,0.01%,926.05
FRANK SANZ,20851,2433.73,0.01%,926.05
MICAH LIN,19292,2433.73,0.01%,926.05
THEODORE MORENO,20872,2433.73,0.01%,926.05
TERRY XIE,20885,2433.73,0.01%,926.05
ISABELLA WASHINGTON,20880,2433.73,0.01%,926.05
CHRISTINA ROGERS,21668,2433.73,0.01%,926.05
KRYSTAL CAI,25625,2433.04,0.01%,932.78
ARTURO GAO,28714,2433.04,0.01%,932.78
MARIAH COOPER,27901,2433.04,0.01%,932.78
STACEY ZHAO,28365,2433.04,0.01%,932.78
MAX ROMERO,29316,2433.04,0.01%,932.78
TABITHA KAPOOR,25729,2433.04,0.01%,932.78
JOSE LOPEZ,25404,2433.04,0.01%,932.78
AARON EVANS,25415,2433.04,0.01%,932.78
HANNAH DAVIS,24738,2433.04,0.01%,932.78
WARREN NARA,25105,2431.69,0.01%,932.5
WALTER ORTEGA,28377,2431.69,0.01%,932.5
MARISSA LONG,25080,2431.69,0.01%,932.5
NATALIE GRIFFIN,25163,2431.69,0.01%,932.5
CASEY ANDERSEN,25406,2431.69,0.01%,932.5
CHELSEA MADAN,24198,2431.69,0.01%,932.5
BRANDON WAGNER,25405,2431.69,0.01%,932.5
CHARLES JAMES,28523,2431.69,0.01%,932.5
BRIANNA MCDONALD,25943,2431.69,0.01%,932.5
TINA LOPEZ,24219,2431.69,0.01%,932.5
MICHEAL SUAREZ,24063,2431.69,0.01%,932.5
LESLIE FERRIER,28535,2431.69,0.01%,932.5
RONALD GARCIA,25720,2431.69,0.01%,932.5
DEVON RAJE,29289,2431.69,0.01%,932.5
PAIGE MURPHY,27636,2431.69,0.01%,932.5
TODD ZHU,28131,2431.69,0.01%,932.5
JACK YOUNG,28078,2431.69,0.01%,932.5
REBEKAH NAVARRO,24790,2431.69,0.01%,932.5
JERRY ANDERSEN,20975,2431.36,0.01%,924
SHEILA SERRANO,21018,2431.36,0.01%,924
JACQUELYN CASTRO,21093,2431.36,0.01%,924
DEREK XU,20824,2429.07,0.01%,922.57
KEVIN GONZALEZ,27668,2428.29,0.01%,929.81
GABRIEL GRIFFIN,25744,2428.29,0.01%,929.81
PAIGE COX,24673,2428.05,0.01%,929.66
CANDICE ZHAO,25640,2427.7,0.01%,926.97
JACQUELINE MORRIS,29468,2427.7,0.01%,926.97
AUSTIN CHEN,24190,2427.7,0.01%,926.97
LESLIE GUTIERREZ,25758,2427.7,0.01%,926.97
ROBIN NAVARRO,28696,2427.7,0.01%,926.97
KENNETH PAL,24384,2427.7,0.01%,926.97
ERICK VANCE,28742,2427.7,0.01%,926.97
VERONICA ARUN,18634,2427.37,0.01%,921.5
COURTNEY LOPEZ,20839,2427.37,0.01%,921.5
GINA GUTIERREZ,21092,2427.37,0.01%,921.5
KYLE LOPEZ,28061,2426.7,0.01%,929.38
MADELINE PARKER,22182,2426.7,0.01%,929.38
LUCAS BRADLEY,25397,2426.69,0.01%,926.34
NICOLE BLUE,24437,2426.69,0.01%,926.34
MELISSA ROGERS,28415,2426.35,0.01%,926.69
NEIL RUIZ,29477,2426.35,0.01%,926.69
OLIVIA GONZALES,24201,2426.35,0.01%,926.69
ASHLEE LAL,28417,2426,0.01%,928.38
ROY ROMERO,20859,2425.08,0.01%,920.07
SHANE CHANDRA,19287,2425.08,0.01%,920.07
JACLYN TANG,21060,2423.64,0.01%,918.26
FRANCIS HERNANDEZ,21103,2422.71,0.01%,916.12
BRITTANY POWELL,22343,2421.6,0.01%,924.71
ARTURO HE,29369,2421.6,0.01%,924.71
SAMANTHA ROSS,27918,2420.34,0.01%,924.83
JULIAN PERRY,25040,2420.34,0.01%,924.83
DARREN SAI,25457,2420.34,0.01%,924.83
EDUARDO CLARK,28240,2420.34,0.01%,924.83
ZACHARY SHAN,24359,2420.34,0.01%,924.83
KIMBERLY MORGAN,28735,2420.34,0.01%,924.83
NICOLE MORRIS,24782,2420.34,0.01%,924.83
BARRY RAMAN,24783,2420.34,0.01%,924.83
JOY TORRES,26362,2420.34,0.01%,924.83
MARIA HENDERSON,27615,2420.34,0.01%,924.83
EMMA BROWN,27616,2420.34,0.01%,924.83
RUBEN CHANDRA,25319,2420.34,0.01%,924.83
EDWARD JACKSON,29042,2420.34,0.01%,924.83
KATHERINE HERNANDEZ,24528,2420.34,0.01%,924.83
KRISTI MADAN,29184,2420.34,0.01%,924.83
PETER XU,28204,2419.06,0.01%,924.03
TYLER MARTINEZ,28201,2419.06,0.01%,924.03
JACK ALLEN,29137,2419.06,0.01%,924.03
CANDICE LIU,28720,2419.06,0.01%,924.03
XAVIER PARKER,24669,2419.06,0.01%,924.03
MAX MORENO,24083,2419.06,0.01%,924.03
JULIE LAL,28309,2419.06,0.01%,924.03
JULIAN BARNES,24526,2419.06,0.01%,924.03
VALERIE YE,28948,2419.06,0.01%,924.03
SAMANTHA MOHAMED,29277,2419.06,0.01%,924.03
ALEXANDRIA ROSS,24670,2419.06,0.01%,924.03
MARTIN MARTINEZ,24135,2419.06,0.01%,924.03
KARL RAJI,29103,2419.06,0.01%,924.03
KAYLA DIAZ,24988,2419.06,0.01%,924.03
TINA MADAN,24347,2419.06,0.01%,924.03
KRISTY BLANCO,24959,2419.06,0.01%,924.03
JESSICA RAMIREZ,29192,2419.06,0.01%,924.03
ALVIN LIN,24140,2419.06,0.01%,924.03
DARRYL CHEN,25050,2419.06,0.01%,924.03
AUSTIN GONZALES,25191,2419.06,0.01%,924.03
ARTURO PAL,29303,2419.06,0.01%,924.03
JACLYN SHARMA,28403,2419.06,0.01%,924.03
JACKSON HENDERSON,22121,2419.06,0.01%,924.03
THERESA ALONSO,25155,2419.06,0.01%,924.03
CARMEN SUBRAM,29473,2419.06,0.01%,924.03
XAVIER MARTIN,22233,2419.06,0.01%,924.03
LISA YANG,24640,2419.06,0.01%,924.03
MELANIE ROSS,25872,2419.06,0.01%,924.03
ALYSSA HALL,25430,2419.06,0.01%,924.03
JULIAN COLEMAN,24760,2419.06,0.01%,924.03
JESSICA SANCHEZ,27667,2419.06,0.01%,924.03
LAWRENCE RUBIO,24761,2419.06,0.01%,924.03
ROY RUIZ,28704,2419.06,0.01%,924.03
FELICIA SUAREZ,28703,2419.06,0.01%,924.03
BRIANA MORENO,28734,2419.06,0.01%,924.03
JESSIE RUBIO,27868,2419.06,0.01%,924.03
ALYSSA RICHARDSON,24810,2419.06,0.01%,924.03
STEVEN JAMES,24942,2419.06,0.01%,924.03
KATELYN ALLEN,27669,2419.06,0.01%,924.03
JADA ADAMS,24979,2419.06,0.01%,924.03
RYAN DAVIS,27870,2419.06,0.01%,924.03
JEREMIAH MARTINEZ,27671,2419.06,0.01%,924.03
DOMINIC PATEL,29366,2419.06,0.01%,924.03
RANDY YE,29367,2419.06,0.01%,924.03
JUSTIN TAYLOR,28066,2419.06,0.01%,924.03
ASHLEY BENNETT,24788,2418.05,0.01%,923.4
DYLAN MILLER,24996,2418.05,0.01%,923.4
BRYANT RODRIGUEZ,29360,2418.05,0.01%,923.4
BAILEY COOK,24354,2418.05,0.01%,923.4
KEVIN GREEN,24358,2418.05,0.01%,923.4
ARMANDO MARTIN,24194,2418.05,0.01%,923.4
LYDIA SUBRAM,28549,2418.05,0.01%,923.4
THOMAS FLORES,24680,2418.05,0.01%,923.4
SETH JENKINS,24153,2418.05,0.01%,923.4
ALLISON TURNER,25000,2418.05,0.01%,923.4
MYA LONG,28191,2417.71,0.01%,923.75
KIMBERLY COOK,28190,2417.71,0.01%,923.75
DYLAN WILLIAMS,25063,2417.71,0.01%,923.75
GABRIELLE HALL,28156,2417.71,0.01%,923.75
IAN MORRIS,28070,2417.71,0.01%,923.75
JUAN REED,25014,2417.71,0.01%,923.75
NICOLE DIAZ,28264,2417.71,0.01%,923.75
THOMAS BUTLER,28296,2417.71,0.01%,923.75
KAITLIN RAMAN,26823,2417.71,0.01%,923.75
WYATT CLARK,25077,2417.71,0.01%,923.75
SAVANNAH KING,28285,2417.71,0.01%,923.75
ARIF RIZALDY,25042,2417.71,0.01%,923.75
CLARENCE LUO,28158,2417.71,0.01%,923.75
LOGAN WILLIAMS,28076,2417.71,0.01%,923.75
KATE XU,28957,2417.71,0.01%,923.75
XAVIER JONES,25150,2417.71,0.01%,923.75
CYNTHIA RANA,28397,2417.71,0.01%,923.75
NOAH MARTINEZ,25060,2417.71,0.01%,923.75
ARMANDO GUTIERREZ,29310,2417.71,0.01%,923.75
RODNEY NAVARRO,29309,2417.71,0.01%,923.75
MARIE SUBRAM,24157,2417.71,0.01%,923.75
JOE MADAN,29300,2417.71,0.01%,923.75
KRYSTAL YANG,22344,2417.71,0.01%,923.75
RILEY PERRY,25079,2417.71,0.01%,923.75
LAUREN BROOKS,24445,2417.71,0.01%,923.75
TRISTAN BRYANT,24441,2417.71,0.01%,923.75
ALLISON MITCHELL,25284,2417.71,0.01%,923.75
STEPHANIE HOWARD,25193,2417.71,0.01%,923.75
THOMAS JONES,25398,2417.71,0.01%,923.75
DESTINY BUTLER,27865,2417.71,0.01%,923.75
TRISTAN FOSTER,25426,2417.71,0.01%,923.75
JORDYN JENKINS,25962,2417.71,0.01%,923.75
CASEY ALVAREZ,28557,2417.71,0.01%,923.75
MARIO RAJI,28695,2417.71,0.01%,923.75
NOAH JAI,25974,2417.71,0.01%,923.75
HANNAH ROBINSON,25924,2417.71,0.01%,923.75
KARI CHAPMAN,26221,2417.71,0.01%,923.75
TERESA ORTEGA,24791,2417.71,0.01%,923.75
BIANCA YANG,28732,2417.71,0.01%,923.75
TAMARA HU,24789,2417.71,0.01%,923.75
CLIFFORD MALHOTRA,24792,2417.71,0.01%,923.75
CHASE BAILEY,24801,2417.71,0.01%,923.75
COLE MORGAN,24793,2417.71,0.01%,923.75
EDUARDO YOUNG,24800,2417.71,0.01%,923.75
CARA YE,26229,2417.71,0.01%,923.75
BIANCA ZHENG,27662,2417.71,0.01%,923.75
GABRIEL WASHINGTON,24814,2417.71,0.01%,923.75
MARY HOWARD,27920,2417.71,0.01%,923.75
CARRIE GILL,28065,2417.71,0.01%,923.75
BROOKE REED,24828,2417.71,0.01%,923.75
COREY CHANDER,24708,2417.71,0.01%,923.75
OLIVIA BENNETT,28067,2417.71,0.01%,923.75
COURTNEY EDWARDS,27606,2417.71,0.01%,923.75
JACKSON LI,27646,2417.71,0.01%,923.75
SHANNON HERNANDEZ,25320,2417.71,0.01%,923.75
JOEL PATEL,27820,2417.71,0.01%,923.75
MARIA KING,28202,2417.71,0.01%,923.75
CHLOE WARD,24425,2417.71,0.01%,923.75
MICHELE MARTIN,27819,2417.71,0.01%,923.75
TARA RAI,24405,2417.71,0.01%,923.75
ANNA PERRY,24660,2417.71,0.01%,923.75
JORDYN WOOD,24521,2417.71,0.01%,923.75
GAVIN COLEMAN,24527,2417.71,0.01%,923.75
STEFANIE GONZALEZ,28709,2417.71,0.01%,923.75
JACKSON NELSON,24675,2417.71,0.01%,923.75
JERMAINE RANA,28927,2417.71,0.01%,923.75
REGINALD NAVARRO,25674,2417.71,0.01%,923.75
SUSAN LI,27839,2417.71,0.01%,923.75
CAROLYN SANCHEZ,24105,2417.71,0.01%,923.75
EDDIE JOHNSEN,28935,2417.71,0.01%,923.75
MORGAN LEE,24779,2417.71,0.01%,923.75
EVELYN LOPEZ,25702,2417.71,0.01%,923.75
JILL PATTERSON,24349,2417.71,0.01%,923.75
RYAN YANG,28723,2417.71,0.01%,923.75
CHAD LAL,25725,2417.71,0.01%,923.75
BARBARA XU,29195,2417.71,0.01%,923.75
ALYSSA MOORE,24809,2417.71,0.01%,923.75
GRACE POWELL,29194,2417.71,0.01%,923.75
JADE COOPER,24966,2417.71,0.01%,923.75
OMAR YE,21020,2414.07,0.01%,913.18
MARIE VANCE,21012,2414.07,0.01%,913.18
KELVIN LUO,24061,2413.06,0.01%,920.28
ALISHA HU,24136,2413.06,0.01%,920.28
FAITH RUSSELL,24806,2413.06,0.01%,920.28
BRUCE MEHTA,25458,2413.06,0.01%,920.28
KRISTOPHER CHANDRA,24987,2413.06,0.01%,920.28
KRISTY CARLSON,28217,2408.29,0.01%,917.29
JONATHON JIMENEZ,24084,2407.04,0.01%,916.51
LAWRENCE MORENO,24798,2407.04,0.01%,916.51
DIANA RAMOS,28733,2406.69,0.01%,913.82
DOMINIC SAI,26223,2406.69,0.01%,913.82
EDUARDO COLEMAN,26818,2406.69,0.01%,913.82
PHILIP GOMEZ,28038,2406.69,0.01%,913.82
NATHAN LEWIS,24413,2406.69,0.01%,913.82
TABITHA SERRANO,28327,2406.69,0.01%,913.82
BENJAMIN PERRY,29165,2406.69,0.01%,913.82
TIMOTHY ALLEN,24802,2406.69,0.01%,913.82
ERIC PEREZ,24808,2406.69,0.01%,913.82
JACQUELYN MUNOZ,29115,2406.69,0.01%,913.82
ANGELA WASHINGTON,24498,2406.69,0.01%,913.82
RAYMOND GONZALEZ,28755,2406.69,0.01%,913.82
PAIGE BROOKS,22232,2406.69,0.01%,913.82
EBONY GUTIERREZ,25975,2406.69,0.01%,913.82
TIMOTHY COX,28196,2406.69,0.01%,913.82
CODY MORRIS,24785,2406,0.01%,915.86
CHRISTIAN JACKSON,27623,2406,0.01%,915.86
JOCELYN HENDERSON,25972,2406,0.01%,915.86
RYAN WILLIAMS,22247,2400.34,0.01%,912.31
TAMARA YANG,28159,2400.34,0.01%,912.31
EVELYN FERNANDEZ,24427,2400.34,0.01%,912.31
TERRANCE SARA,19255,2400.09,0.01%,904.43
KATELYN HOWARD,19174,2400.09,0.01%,904.43
TIFFANY HU,20856,2400.09,0.01%,904.43
KATELYN GREEN,19295,2400.09,0.01%,904.43
JILL RAMOS,21039,2400.09,0.01%,904.43
FRANK JIMENEZ,21067,2400.09,0.01%,904.43
MACKENZIE WARD,21130,2400.09,0.01%,904.43
JESSICA RODRIGUEZ,21669,2400.09,0.01%,904.43
ALBERT HERNANDEZ,25618,2398.05,0.01%,910.88
JORDAN BUTLER,24434,2398.05,0.01%,910.88
ADAM EDWARDS,24414,2398.05,0.01%,910.88
ANGELICA LONG,28206,2398.05,0.01%,910.88
JILLIAN MARTINEZ,24529,2398.05,0.01%,910.88
KAREN SUN,28208,2398.05,0.01%,910.88
MELINDA SERRANO,25681,2398.05,0.01%,910.88
RILEY COX,24345,2398.05,0.01%,910.88
ROSS PRASAD,28963,2398.05,0.01%,910.88
ANDREA RAMIREZ,24353,2398.05,0.01%,910.88
OMAR DENG,24158,2398.05,0.01%,910.88
ARTHUR GONZALEZ,28747,2398.05,0.01%,910.88
MARCUS GONZALES,25334,2398.05,0.01%,910.88
JESSICA LEWIS,25868,2398.05,0.01%,910.88
MARSHALL RAI,25903,2398.05,0.01%,910.88
TONY ANAND,25407,2398.05,0.01%,910.88
MARY HILL,25622,2398.05,0.01%,910.88
PAULA GILL,28524,2398.05,0.01%,910.88
MARIA OLIVER,25623,2398.05,0.01%,910.88
JACQUELYN RUIZ,25738,2398.05,0.01%,910.88
DARREN CARLSON,29478,2398.05,0.01%,910.88
XAVIER RAMIREZ,25396,2398.05,0.01%,910.88
SERGIO RAMAN,27866,2398.05,0.01%,910.88
KATHERINE GONZALEZ,22234,2398.05,0.01%,910.88
ISAAC WRIGHT,24770,2398.05,0.01%,910.88
ABIGAIL HUGHES,24764,2398.05,0.01%,910.88
MORGAN PHILLIPS,27617,2398.05,0.01%,910.88
ZACHARY MARTIN,28257,2398.05,0.01%,910.88
JACK NELSON,28234,2398.05,0.01%,910.88
HAROLD ARUN,23667,2398.05,0.01%,910.88
ALEXA GRAY,28246,2398.05,0.01%,910.88
CARLOS BELL,24756,2398.05,0.01%,910.88
GABRIELLE BELL,22373,2398.05,0.01%,910.88
JESSICA SIMMONS,24796,2398.05,0.01%,910.88
RICHARD BROWN,29357,2398.05,0.01%,910.88
NATASHA RAMOS,26230,2398.05,0.01%,910.88
EDWARD GARCIA,24972,2398.05,0.01%,910.88
KAYLA LONG,27670,2398.05,0.01%,910.88
JACKSON DIAZ,24831,2398.05,0.01%,910.88
MARTHA SHE,22251,2393.06,0.01%,907.76
DYLAN FLORES,24797,2393.06,0.01%,907.76
SHAUN PAL,24707,2393.06,0.01%,907.76
EDWARD BROWN,27621,2393.06,0.01%,907.76
JASON GONZALEZ,28030,2393.06,0.01%,907.76
NATALIE COX,24352,2393.06,0.01%,907.76
SAMANTHA JACKSON,25074,2393.06,0.01%,907.76
SAMUEL JOHNSTON,24644,2393.06,0.01%,907.76
JORGE LEITÃƒO,25399,2393.06,0.01%,907.76
OMAR ZENG,25427,2393.06,0.01%,907.76
DOMINIQUE SAUNDERS,29469,2393.06,0.01%,907.76
GABRIEL YOUNG,25401,2393.06,0.01%,907.76
MARIAH GRIFFIN,25973,2393.06,0.01%,907.76
VICTORIA BARNES,24653,2393.06,0.01%,907.76
MARCUS PRICE,24420,2393.06,0.01%,907.76
TERRY RAJE,28311,2393.06,0.01%,907.76
CHLOE CLARK,24340,2393.06,0.01%,907.76
GREGORY GOEL,28712,2393.06,0.01%,907.76
GABRIELLE SIMMONS,29183,2393.06,0.01%,907.76
KATHERINE PATTERSON,28154,2393.06,0.01%,907.76
TAMARA ANDERSEN,29392,2393.06,0.01%,907.76
DALTON JAMES,25084,2393.06,0.01%,907.76
GABRIELLE EDWARDS,28297,2392.71,0.01%,905.07
TREVOR ROSS,28071,2392.71,0.01%,905.07
IVAN MARTINEZ,27872,2392.71,0.01%,905.07
CANDICE YE,25049,2392.71,0.01%,905.07
LUCAS HARRIS,25901,2392.71,0.01%,905.07
ZACHARY POWELL,25286,2392.71,0.01%,905.07
CANDACE RANA,25429,2392.71,0.01%,905.07
CHARLES MARTIN,24684,2392.71,0.01%,905.07
SHANNON ALONSO,24683,2392.71,0.01%,905.07
VINCENT ZHOU,23276,2392.71,0.01%,905.07
JORDAN KUMAR,24685,2392.71,0.01%,905.07
WARREN XU,24762,2392.71,0.01%,905.07
ASHLEY LONG,24688,2392.71,0.01%,905.07
ANDREA WATSON,24787,2392.71,0.01%,905.07
ALEXANDRIA HUGHES,27625,2392.71,0.01%,905.07
GABRIEL WRIGHT,24403,2392.71,0.01%,905.07
JONATHAN MITCHELL,22109,2392.71,0.01%,905.07
LARRY SUAREZ,28694,2392.71,0.01%,905.07
ROBERTO HERNANDEZ,28923,2392.71,0.01%,905.07
KAYLEE BROOKS,24110,2392.71,0.01%,905.07
NOAH HARRIS,29256,2392.71,0.01%,905.07
KRISTINE SERRANO,28940,2392.71,0.01%,905.07
PATRICIA MEHTA,29179,2392.71,0.01%,905.07
MEGAN KELLY,24784,2392.71,0.01%,905.07
BRANDON YANG,24351,2392.71,0.01%,905.07
DIANA DOMINGUEZ,29292,2392.71,0.01%,905.07
CURTIS HU,27880,2392.71,0.01%,905.07
JACK SHAN,24819,2392.71,0.01%,905.07
CHELSEA WEBER,29191,2392.71,0.01%,905.07
OMAR HU,28954,2392.71,0.01%,905.07
JENNIFER PRICE,24339,2384.07,0.01%,902.13
KELLI RAJE,28136,2384.07,0.01%,902.13
VICTOR GOMEZ,28203,2384.07,0.01%,902.13
BRYANT CHAPMAN,24404,2384.07,0.01%,902.13
NEIL VAZQUEZ,28719,2384.07,0.01%,902.13
NATHAN MOORE,28323,2384.07,0.01%,902.13
JENNIFER PERRY,22120,2384.07,0.01%,902.13
COURTNEY HALL,24780,2384.07,0.01%,902.13
DYLAN KUMAR,24674,2384.07,0.01%,902.13
MARIE MEHTA,29102,2384.07,0.01%,902.13
TONYA RAJI,24804,2384.07,0.01%,902.13
LEVI RAMAN,29114,2384.07,0.01%,902.13
NUAN WU,29293,2384.07,0.01%,902.13
GLENN LI,29295,2384.07,0.01%,902.13
EDGAR PEREZ,29318,2384.07,0.01%,902.13
BRYAN MORRIS,25162,2384.07,0.01%,902.13
NATHAN CHEN,25175,2384.07,0.01%,902.13
RAFAEL ANAND,29306,2384.07,0.01%,902.13
ANGEL PETERSON,25169,2384.07,0.01%,902.13
KARLA DENG,29382,2384.07,0.01%,902.13
SARAH POWELL,24641,2384.07,0.01%,902.13
KAITLYN WARD,25410,2384.07,0.01%,902.13
BRANDON JOHNSON,25891,2384.07,0.01%,902.13
THEODORE GUTIERREZ,25409,2384.07,0.01%,902.13
ALVIN ZHENG,25734,2384.07,0.01%,902.13
CARLOS CARTER,25867,2384.07,0.01%,902.13
HUNTER COLEMAN,25976,2384.07,0.01%,902.13
XAVIER ROBERTS,28062,2384.07,0.01%,902.13
TAYLOR WATSON,28155,2384.07,0.01%,902.13
JONATHAN ADAMS,28247,2384.07,0.01%,902.13
MADELINE MITCHELL,28273,2384.07,0.01%,902.13
FAITH COOK,27871,2384.07,0.01%,902.13
KAITLYN FOSTER,28083,2384.07,0.01%,902.13
MIGUEL ROBINSON,25463,2384.07,0.01%,902.13
RONALD PRASAD,24383,2384.07,0.01%,902.13
JAN COX,26209,2384.07,0.01%,902.13
MIRANDA ALEXANDER,27641,2384.07,0.01%,902.13
PRISCILLA CHANDE,29358,2384.07,0.01%,902.13
TAMARA NATH,28064,2384.07,0.01%,902.13
ERICA WU,25452,2384.07,0.01%,902.13
TAMARA XU,24958,2384.07,0.01%,902.13
KRISTINE ALVAREZ,27937,2379.44,0.01%,984.75
BRAD CHANDE,22430,2377.15,0.01%,983.32
CLARENCE NARA,20054,2377.15,0.01%,983.32
KATE TANG,20036,2356.83,0.01%,970.59
BRUCE ARUN,21037,2350.18,0.01%,989.63
ALYSSA SANCHEZ,20037,2334.16,0.01%,956.41
DALTON BELL,27944,2315.42,0.01%,942.77
JAMES WRIGHT,16118,2315.34,0.01%,1106.25
